GREVESSE 93 MIX X=0.35  Z=0.10
  -3.595  -3.326  -2.950  -2.521  -2.092  -1.690  -1.324   -.989   -.681
11 17 3.600 -7.0  -3.434  -3.607  -3.763  -3.895  -3.989  -4.030  -4.002  -3.889
  -3.678  -3.381  -3.037  -2.683  -2.345  -2.031  -1.735  -1.440  -1.140
12 17 3.550 -7.0  -4.021  -4.103  -4.146  -4.152  -4.129  -4.080  -4.006  -3.899
  -3.752  -3.565  -3.343  -3.094  -2.826  -2.540  -2.232  -1.909  -1.589
13 17 3.500 -7.0  -4.221  -4.206  -4.182  -4.155  -4.138  -4.136  -4.142  -4.138
  -4.102  -4.017  -3.864  -3.620  -3.270  -2.811  -2.276  -1.743  -1.320
14 17 3.450 -7.0  -4.229  -4.234  -4.261  -4.309  -4.376  -4.457  -4.534  -4.577
  -4.560  -4.438  -4.124  -3.599  -2.952  -2.309  -1.784  -1.452  -1.281
15 17 3.400 -7.0  -4.417  -4.498  -4.597  -4.705  -4.803  -4.867  -4.877  -4.800
  -4.554  -4.055  -3.368  -2.679  -2.109  -1.731  -1.542  -1.460  -1.424
16 17 3.350 -7.0  -4.849  -4.953  -5.024  -5.047  -5.022  -4.939  -4.721  -4.259
  -3.583  -2.887  -2.300  -1.915  -1.735  -1.665  -1.637  -1.623  -1.615
17 17 3.300 -7.0  -5.167  -5.148  -5.115  -5.034  -4.797  -4.313  -3.629  -2.926
  -2.361  -2.034  -1.902  -1.856  -1.838  -1.829  -1.825  -1.822  -1.820
18 17 3.250 -7.0  -5.229  -5.108  -4.770  -4.180  -3.449  -2.778  -2.337  -2.149
  -2.085  -2.064  -2.055  -2.050  -2.048  -2.046  -2.045  -2.043  -2.043
19 17 3.200 -7.0  -4.471  -3.745  -3.049  -2.586  -2.399  -2.341  -2.323  -2.315
  -2.311  -2.309  -2.309  -2.309  -2.310  -2.309  -2.309  -2.308   -.882
20 17 3.150 -7.0  -2.611  -2.506  -2.475  -2.466  -2.462  -2.460  -2.460  -2.460
  -2.461  -2.460  -2.462  -1.158   -.950   -.762   -.644   -.018    .404
21 17 3.100 -7.0  -2.460  -2.459  -2.459  -2.460  -2.460  -2.461  -1.411  -1.125
   -.878   -.356    .047    .131    .351    .516    .613    .654    .691
22 17 3.050 -7.0  -2.463  -2.463  -1.244   -.979   -.649   -.068    .160    .270
    .374    .466    .553    .592    .628    .637    .638    .638    .638
23 17 3.000 -7.0   -.318   -.114    .113    .258    .353    .433    .511    .574
    .582    .583    .584    .584    .584    .584    .585    .585    .585
GREVESSE 93 MIX X=0.35  Z=0.01
 1 17 4.100 -7.0   -.678   -.674   -.661   -.623   -.521   -.308    .026    .454
    .909   1.348   1.730   2.022   2.226   2.371   2.487   2.597   2.719
 2 17 4.050 -7.0   -.716   -.741   -.746   -.691   -.538   -.275    .094    .523
    .941   1.300   1.568   1.753   1.883   1.986   2.087   2.197   2.331
 3 17 4.000 -7.0   -.812   -.812   -.775   -.679   -.505   -.234    .122    .489
    .807   1.039   1.198   1.315   1.412   1.510   1.620   1.751   1.910
 4 17 3.950 -7.0   -.833   -.808   -.756   -.658   -.493   -.262    .002    .232
    .404    .531    .633    .732    .838    .959   1.099   1.265   1.461
 5 17 3.900 -7.0   -.824   -.798   -.754   -.682   -.587   -.483   -.393   -.316
   -.240   -.156   -.055    .067    .208    .369    .550    .755    .984
 6 17 3.850 -7.0   -.827   -.824   -.833   -.863   -.918   -.982  -1.029  -1.041
  -1.001   -.911   -.779   -.615   -.429   -.226   -.009    .229    .494
 7 17 3.800 -7.0   -.918  -1.013  -1.149  -1.310  -1.478  -1.635  -1.753  -1.806
  -1.775  -1.661  -1.488  -1.287  -1.064   -.826   -.572   -.292    .021
 8 17 3.750 -7.0  -1.293  -1.494  -1.707  -1.923  -2.133  -2.324  -2.473  -2.544
  -2.510  -2.382  -2.186  -1.951  -1.690  -1.402  -1.079   -.715   -.322
 9 17 3.700 -7.0  -1.926  -2.158  -2.388  -2.612  -2.824  -3.014  -3.162  -3.233
  -3.199  -3.059  -2.835  -2.544  -2.192  -1.788  -1.363   -.946   -.558
10 17 3.650 -7.0  -2.685  -2.910  -3.126  -3.329  -3.517  -3.679  -3.799  -3.842
  -3.770  -3.563  -3.233  -2.823  -2.390  -1.967  -1.575  -1.216   -.891
11 17 3.600 -7.0  -3.479  -3.668  -3.841  -3.995  -4.120  -4.200  -4.217  -4.146
  -3.967  -3.685  -3.334  -2.962  -2.600  -2.261  -1.948  -1.647  -1.352
12 17 3.550 -7.0  -4.158  -4.267  -4.339  -4.371  -4.367  -4.334  -4.271  -4.169
  -4.019  -3.821  -3.582  -3.318  -3.042  -2.757  -2.460  -2.147  -1.834
13 17 3.500 -7.0  -4.454  -4.449  -4.431  -4.406  -4.383  -4.369  -4.364  -4.350
  -4.309  -4.225  -4.080  -3.852  -3.527  -3.094  -2.577  -2.052  -1.624
14 17 3.450 -7.0  -4.477  -4.472  -4.485  -4.518  -4.570  -4.635  -4.707  -4.762
  -4.769  -4.680  -4.410  -3.922  -3.290  -2.643  -2.105  -1.761  -1.582
15 17 3.400 -7.0  -4.623  -4.688  -4.770  -4.866  -4.966  -5.051  -5.094  -5.055
